"Total.Household.Income","Total.Food.Expenditure","Agricultural.Household.indicator","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure","Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Age","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Television","Number.of.CD.VCD.DVD","Number.of.Component.Stereo.set","Number.of.Refrigerator.Freezer","Number.of.Washing.Machine","Number.of.Airconditioner","Number.of.Car..Jeep..Van","Number.of.Landline.wireless.telephones","Number.of.Cellular.phone","Number.of.Personal.Computer","Number.of.Stove.with.Oven.Gas.Range","Number.of.Motorized.Banca","Number.of.Motorcycle.Tricycle"
99390,58897,0,24617,23400,5194,13679,1149,2650,5800,4330,234,1925,10986,6000,330,15600,1872,675,2826,0,0,3395,44,4,0,2,2,48,18,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0
238884,80907,0,26335,18480,20533,10882,3390,5631,2940,2690,4270,1470,29910,18000,100,2016,804,530,3150,800,0,165504,55,6,1,1,1,56,15,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0
114509,40901,0,23739,42,2939,3641,1740,2250,1800,0,1733,2185,12780,6000,1759,7452,1002,450,15336,1790,280,32400,54,5,0,1,1,53,5,2,1,1,0,0,0,0,0,0,0,3,0,0,0,1
217400,76740,2,21087,15204,11062,13047,5492,3671,5200,0,2715,5193,81246,54000,29300,1680,1200,0,8442,4500,0,49800,74,3,0,0,0,15,15,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0
117432,61529,0,16197,12790,6188,6746,1138,3767,14760,0,3620,1990,7500,3600,285,6252,360,910,7464,0,21261,21261,37,6,1,3,2,20,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
264914,97974,0,36628,25756,17890,14046,2200,2725,11880,2080,4025,1850,31200,19200,3930,30276,6792,19500,11028,0,0,127304,83,8,0,2,2,60,20,3,1,1,0,0,1,0,0,0,0,3,0,0,0,1
1475211,122336,2,8384,4791,25162,7956,5000,4121,53210,1092,3620,17100,343386,300000,3156,72000,17400,0,36690,2000,0,0,32,2,0,0,2,150,15,4,1,2,1,1,1,1,2,2,0,2,2,0,0,0
394882,183419,2,37315,31750,19089,20353,5645,9716,61800,0,0,6850,102420,57000,3240,56754,13002,10250,38502,4000,0,106200,59,8,1,0,3,60,22,2,1,1,1,0,1,1,0,1,0,6,5,0,0,1
233937,96330,1,19518,8425,2666,16415,10565,21737,2470,0,780,3755,24678,21300,164,3750,204,859,3780,0,181159,198939,35,6,2,3,0,26,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
190294,61946,0,12274,9282,9099,13991,1126,4371,13260,0,0,400,73902,57000,5600,4440,300,0,4818,1000,0,33000,77,2,0,0,1,50,48,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0
97915,61563,0,25490,16744,4228,8984,1630,5018,6950,0,0,2400,21480,15000,121,4692,630,728,3192,0,0,62000,51,3,0,1,0,30,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
221085,134192,0,37068,17740,13865,15543,9708,11900,22800,0,2080,2608,33630,18000,16906,3378,1896,18000,10302,5200,0,180920,63,5,0,1,0,25,34,1,1,1,1,0,0,0,0,0,0,2,1,1,0,2
174600,72248,0,19288,10140,6549,9848,2465,3020,16410,11830,0,6620,37380,0,829,11958,3600,0,17724,2500,0,0,25,2,0,0,1,50,12,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0
115176,68937,1,25757,250,2632,23368,295,2294,560,1920,0,830,6720,3600,190,1464,0,1068,3648,1114,0,36895,49,6,0,3,3,14,10,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
422079,119652,0,34678,27090,11924,10238,2776,6900,15250,600,13575,6071,101028,90000,250,10506,4890,0,5574,8757,0,123014,64,7,1,0,2,65,10,2,1,1,0,0,2,0,0,0,0,5,1,0,0,1
161760,63813,1,33579,29684,2120,5716,1610,3740,5110,100,0,2875,25662,9000,392,2136,540,735,4824,11000,43885,43885,30,5,0,3,1,32,7,2,1,1,0,0,0,0,0,0,0,10,0,0,0,0
163153,57658,0,20317,17574,4300,7568,1150,4500,12800,270,10860,1770,23802,13800,6375,18840,1560,4120,11226,10540,0,2000,45,5,0,2,2,36,35,3,1,1,1,1,0,1,0,0,0,2,0,0,0,0
174337,101993,0,53000,49552,4476,13131,1605,3840,8460,1596,7240,2100,18852,6000,22974,19776,1140,24500,6192,1500,0,79000,56,8,1,2,1,59,40,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0
36463,21062,0,11640,4140,760,1372,1135,3063,0,30,60,1010,2754,900,10,798,0,0,696,0,2180,2180,73,2,0,0,0,24,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943150,188193,2,23695,17000,36292,11215,7013,9152,73424,936,1560,17095,179520,120000,11520,41514,36114,0,44112,6500,0,53150,62,5,0,0,2,80,26,3,1,1,1,0,1,1,1,0,1,5,1,1,0,0
233090,105332,0,30699,25620,31496,13328,1245,4856,10860,0,15204,1600,33900,15000,10741,14178,1974,0,8346,18000,0,125490,65,3,0,1,0,120,30,2,1,1,0,0,1,1,0,0,0,1,0,0,0,1
131945,69086,2,20550,14118,8785,7689,983,3467,4230,343,0,3899,37122,9000,18624,750,2736,230,7836,832,0,87032,34,5,2,1,0,30,17,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
91298,32836,0,7418,4560,3810,1584,1885,3536,7340,0,0,1460,11340,6000,16690,3762,936,1000,2286,0,0,36090,58,2,0,1,1,20,29,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
57540,40380,1,18351,16471,5040,3138,429,2661,4065,572,1040,1378,9000,4800,0,4380,1194,160,5586,0,5370,21510,37,5,1,2,1,16,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
235952,132887,0,36515,1080,17620,20753,7620,15510,8860,3250,0,7260,6102,900,700,3060,0,993,5706,12000,22960,165240,35,5,1,2,1,60,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
496465,174071,0,43097,19032,23824,10378,4439,12305,8775,910,0,29950,90270,66000,28690,47202,7200,16900,29226,41000,0,9000,42,4,1,1,2,190,17,3,1,3,0,0,1,1,2,2,0,2,5,1,0,1
195241,36964,0,14967,13312,2855,4569,2006,8006,300,0,0,2498,8448,3300,384,180,0,0,62172,46202,63525,68235,86,1,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124140,57186,0,23637,18135,2550,6258,2376,4790,2780,0,520,5035,36474,24000,2747,6600,960,0,3432,0,0,18800,66,3,0,0,1,40,20,1,1,1,1,0,1,0,0,0,0,2,0,1,0,0
466105,111190,0,16248,11700,25886,18704,2845,8651,12386,0,0,14110,28098,15000,1932,5922,3000,2868,22398,16500,0,0,40,4,0,2,2,81,5,2,1,1,0,0,0,1,0,0,0,2,1,1,0,2
60935,35204,1,8745,6565,4760,3654,3197,6458,0,2701,0,1550,7080,5400,1163,3300,360,0,2598,0,0,0,35,2,0,0,1,18,12,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
147235,85641,2,15891,10862,14172,8102,1715,4430,19780,210,1358,1580,27522,21000,4249,9480,1200,1580,9990,5500,0,57158,35,4,1,1,0,400,30,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
73781,22689,1,10536,9532,2010,3760,1610,2305,0,86,1664,100,7290,2400,2110,2676,150,0,2424,550,47695,47695,35,2,0,0,1,20,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130049,77993,1,22478,14468,16656,13547,1100,5137,1840,1380,4706,1235,19464,6300,581,4296,420,350,9210,0,0,5798,48,7,1,1,2,180,14,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0
98910,78022,0,29901,21036,6685,13880,2550,4300,1680,1345,7614,1926,20148,13800,180,3300,756,0,4842,0,0,3000,49,4,1,0,1,12,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78451,78260,1,32658,19940,370,31920,606,2487,1732,270,650,1680,10800,3000,0,6402,0,700,3828,0,0,56798,41,4,0,2,0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76683,62656,0,23599,1250,3117,9513,2104,7586,5660,875,1560,4450,7350,2100,295,2700,0,322,2976,4900,15953,15953,37,7,1,4,2,25,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181300,50015,0,9683,7180,7503,7468,200,5603,12452,2184,7240,2450,15180,6000,876,2424,762,3720,5058,5000,75000,75000,51,5,1,2,2,150,55,2,1,1,1,0,1,0,0,0,0,1,0,0,0,1
311354,64945,0,27895,24345,8628,6278,530,3430,9110,1676,960,2420,21840,7800,784,8862,780,10000,7716,5000,28504,28504,55,7,0,3,4,48,30,3,1,1,0,0,0,0,0,0,0,4,0,0,0,0
585048,176816,0,50620,17200,42982,21772,5040,5690,19412,7848,18100,17570,71796,27000,6133,31974,14556,4050,21510,41200,0,0,53,8,2,2,1,100,25,3,1,1,0,0,1,1,0,0,0,2,0,0,0,1
196160,80137,2,10797,9620,3840,4915,1930,4485,28450,1041,1629,4610,55800,36000,1620,10428,1518,1100,10530,0,0,22200,56,6,1,2,2,40,30,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0
135065,42319,0,8556,6550,2735,2862,280,2605,15600,0,3258,1350,31596,24000,6628,9138,1080,0,22782,16650,0,60889,60,3,0,0,1,30,55,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
80225,51749,1,28724,23850,2520,5488,1970,6314,600,300,600,1165,10206,7800,775,3900,648,0,3882,3000,41669,41669,47,5,0,1,3,37,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
231527,110537,0,46534,38915,5788,8022,9539,3880,19355,1080,1894,5283,23580,18000,20132,26310,2202,28385,9234,6050,15244,85782,46,7,0,3,1,20,16,1,1,0,0,0,0,0,0,0,0,2,1,0,0,1
169443,76180,0,18293,14755,2070,23039,1490,3795,4140,560,0,7100,16578,6000,7174,22056,1620,0,5472,1900,0,61080,61,7,2,0,1,140,26,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
145082,94372,1,39402,23240,1040,22715,2340,7565,5690,0,9955,2520,8100,2400,784,2580,1350,1490,6078,0,12480,122160,40,8,0,4,1,17,15,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0
299654,86657,0,31473,27931,13100,6360,2170,2518,19600,540,0,2799,33930,15000,778,41010,5076,7120,17544,0,0,0,51,6,1,1,2,15,2,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0
332914,64577,2,12172,9232,8935,2508,2116,4670,21060,0,0,5930,88200,54000,7520,17592,7194,0,25968,0,0,33676,65,2,0,0,2,80,22,3,1,2,1,1,2,1,1,0,0,1,1,1,0,0
93025,42234,0,10935,8046,12486,3852,440,4160,3000,0,0,1120,35448,0,0,10980,1212,1580,7698,700,0,0,34,5,1,2,2,90,75,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0
194078,56433,0,11341,5898,13782,7911,1771,3762,9700,0,0,4080,24672,15000,3927,16230,2412,0,45624,3000,4905,46777,55,2,0,0,0,70,23,2,1,1,0,0,1,1,0,1,0,2,1,0,0,1
733138,86420,0,18382,5220,7230,18446,5285,9962,10000,13900,0,9740,116274,63000,16360,24018,22800,6000,32532,5000,2600,666758,55,3,0,0,0,36,20,4,1,1,0,1,1,0,0,1,1,0,0,1,0,0
316433,82294,0,16483,12564,14713,9623,1680,4880,17500,0,0,7580,50010,36000,909,4716,636,3440,9978,13800,0,119000,47,3,0,2,0,35,23,2,1,1,1,0,1,1,0,0,0,2,0,0,0,0
32139,18062,0,7657,0,540,3757,805,2855,300,150,540,595,2850,1800,400,612,0,0,540,0,0,3822,77,2,0,0,0,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250318,54343,0,11332,8092,4380,2084,900,1972,19100,5460,0,35900,36996,18000,10460,30354,5520,0,11088,0,0,64396,30,2,0,0,1,100,15,1,1,1,0,0,1,1,1,0,0,4,0,0,0,1
765290,318488,0,194197,183475,13030,30262,17234,9010,23210,0,0,5505,113448,90000,8417,37050,22320,8128,10638,99500,0,0,70,4,0,0,1,300,40,5,1,0,0,0,1,1,1,1,1,5,2,1,0,1
307236,132136,2,26301,17290,9921,6553,2287,7847,48270,0,0,3043,111570,45000,2926,41430,3360,28964,17916,5000,0,0,46,4,0,2,1,20,15,1,1,1,1,0,1,1,0,1,0,4,1,0,0,0
865598,167694,0,28698,11920,23856,16240,12120,6935,51650,0,0,68200,231900,60000,38119,47574,16314,14500,57606,0,0,394340,67,3,0,0,0,70,45,3,1,1,1,1,2,1,1,0,0,3,1,1,0,0
