"Total.Household.Income","Total.Food.Expenditure","Agricultural.Household.indicator","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure","Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Age","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Television","Number.of.CD.VCD.DVD","Number.of.Component.Stereo.set","Number.of.Refrigerator.Freezer","Number.of.Washing.Machine","Number.of.Airconditioner","Number.of.Car..Jeep..Van","Number.of.Landline.wireless.telephones","Number.of.Cellular.phone","Number.of.Personal.Computer","Number.of.Stove.with.Oven.Gas.Range","Number.of.Motorized.Banca","Number.of.Motorcycle.Tricycle"
396489,81813,0,30102,20600,13706,8786,1378,7396,8720,1443,7240,3050,13332,6000,266,7560,1806,10300,10326,4500,0,0,59,5,0,1,4,70,30,2,1,1,1,1,0,1,0,0,0,2,0,0,0,0
240720,41763,0,16711,13527,4830,6758,2045,4015,2490,0,0,2925,19830,12000,100436,2484,780,1415,6300,70000,31100,131000,33,4,0,1,0,18,15,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0
94612,46770,0,6587,3260,2380,2046,665,625,26500,325,5180,5320,16008,9000,550,2970,3300,0,3852,0,0,0,49,1,0,0,1,70,6,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0
355275,82570,0,13569,6240,11555,21490,7370,6523,2925,0,0,5275,92412,78000,24374,8892,5100,3585,6222,150,0,0,85,2,0,0,0,300,26,3,1,1,0,0,1,0,0,1,0,1,0,0,0,0
109968,40894,1,20072,14480,1670,6214,1905,2464,1280,0,0,2170,11970,6600,310,2940,780,0,7200,6200,99748,99748,28,3,0,1,0,30,5,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
256879,106028,0,28701,17527,12104,16296,5595,6145,12870,1664,0,5955,29628,24000,2219,8616,3360,890,19422,1000,0,0,42,6,1,1,3,42,15,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0
81319,40123,0,12319,8760,4417,7622,1370,2653,3760,0,0,6777,15594,7800,1232,1440,546,395,5010,4600,0,0,67,5,0,2,0,11,16,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
46946,23501,0,5702,4026,5998,3862,220,3375,1070,0,0,250,9882,6000,30,822,0,0,1800,300,0,0,67,2,0,0,1,20,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115560,62484,0,24620,22856,11930,10342,705,3054,6010,1040,4660,1385,27960,12000,580,3126,1032,50,4008,1700,0,0,55,6,1,1,2,60,19,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0
332672,92369,0,22450,20906,15168,26274,1335,4465,9519,0,0,1790,33174,0,1022,18504,8208,1350,11796,1100,0,173172,43,3,0,0,2,22,13,1,1,1,0,0,1,0,0,0,0,3,0,0,0,2
89740,65375,1,27660,16120,2555,9724,2005,7520,540,0,520,500,13980,3900,690,2400,780,1070,2694,0,75460,75460,40,7,0,5,0,65,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142730,82546,1,21570,18580,16376,11136,5480,7155,9040,0,0,1795,9480,4800,89,7518,4458,40,4980,0,0,0,35,4,0,2,1,20,14,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
87548,45974,1,10958,9282,6061,5633,585,11945,2715,222,1560,345,9528,4800,952,2100,270,1283,1920,500,33155,33155,48,4,0,2,0,30,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
156464,50069,1,16757,13898,2836,6928,1747,6465,6335,2896,0,2210,19836,6000,50,2856,1698,4240,6864,5114,121532,129832,44,6,0,3,0,10,20,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0
124604,73499,0,16593,14664,8009,4442,9686,2577,17790,0,0,1153,11940,6000,148,6606,360,415,4926,1550,0,111906,35,3,0,1,0,11,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117622,73081,0,37473,32761,13300,4360,2628,6423,160,2912,3528,3185,14754,4800,180,2160,3060,1645,4140,10450,0,0,70,10,0,6,2,30,2,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0
521990,206020,0,55784,31555,16068,22622,9780,10006,38216,735,0,15511,149628,90000,89110,15192,27588,76972,15984,31300,0,0,42,7,1,1,1,300,15,3,1,2,1,1,1,1,3,0,1,6,2,1,0,2
310460,97906,1,32474,24150,9080,12900,3300,7367,9050,360,1448,2220,28608,15000,0,9000,1080,1465,8106,0,0,188640,34,5,1,2,1,26,1,2,1,1,1,1,0,0,0,0,0,1,0,0,1,0
289232,130520,0,29974,20634,17048,15108,1150,4388,17540,5070,0,3044,50472,0,1884,15834,2340,870,17538,1800,0,91520,35,6,2,2,1,35,17,1,1,1,1,0,1,1,0,0,0,2,0,0,0,1
432510,208695,2,14744,9100,21360,8832,3247,4854,69883,910,5068,11458,48360,36000,24490,55908,14310,0,36768,12000,0,500,53,5,2,0,2,80,5,2,1,1,1,0,1,0,0,0,0,3,2,0,0,0
163702,66057,0,21030,14560,6465,10892,1725,3989,4202,1500,0,1730,16512,12000,4949,4122,13440,0,6258,3100,0,0,76,2,0,0,1,60,55,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0
56106,29421,0,16272,13000,1323,3571,330,1360,80,0,1810,2250,8262,3600,215,1920,0,0,3270,0,0,11600,49,4,2,0,1,90,24,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
69978,28860,0,15614,13990,2473,2677,580,2110,1320,0,0,475,10230,6000,250,1164,660,0,1416,3052,0,10290,77,2,0,0,1,44,30,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
451700,190805,0,17708,10816,18300,8570,5150,4440,41300,0,3744,8710,87300,0,3726,11838,2700,15200,50730,5000,0,0,42,4,1,1,1,25,47,0,1,1,1,0,1,1,0,0,0,2,1,0,0,0
112198,56710,0,20390,14794,4734,2279,370,1760,19570,0,0,2950,16536,6000,650,8076,1122,2040,13188,3000,0,36000,26,5,2,1,1,15,21,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0
154495,70299,0,21148,10640,9358,10066,1745,3604,9750,0,0,2150,23820,9000,300,8064,936,540,4512,1000,0,0,32,3,1,1,1,40,5,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1
689846,216983,2,34490,17084,25861,6518,2082,4326,84500,0,0,22755,154200,108000,6308,16254,23982,64750,60060,26000,0,0,37,5,1,2,2,130,59,3,1,1,1,1,1,1,1,0,1,2,3,0,0,0
163600,87511,2,31456,23892,11508,9613,1310,4911,19300,480,5430,5010,50400,36000,342,6594,2082,420,8880,2500,0,0,34,9,0,7,1,96,30,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0
139030,68249,1,28720,26400,8890,5626,1420,3265,11100,780,3077,3095,11580,4800,765,7782,360,100,5376,700,76840,76840,47,6,1,3,0,40,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138945,82293,1,31526,26400,1506,35211,470,4293,0,220,5550,2730,5124,1800,5616,828,24,10215,3426,0,0,101770,35,7,1,4,0,26,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
179493,58479,1,11847,8220,14508,11502,1168,3345,2220,11190,2715,2940,9240,6000,346,1200,540,0,5466,500,0,0,28,4,2,0,2,64,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
317210,125968,2,24147,11700,14509,6607,1500,2728,43452,0,0,5844,64278,0,3504,24822,5862,0,40980,9050,0,0,25,3,1,0,2,25,31,1,1,1,1,0,1,1,0,0,0,2,1,0,0,0
707600,195567,2,33655,15900,29526,13956,5318,15248,58650,0,0,8970,199170,150000,12978,13086,40500,140500,50496,12394,0,0,44,4,0,1,0,100,9,3,1,1,0,1,1,1,0,0,1,4,3,0,0,0
108297,58529,1,16905,10712,2640,11042,1970,5582,15140,10,696,1065,12210,6000,0,1926,1338,2610,6294,12200,5000,5000,56,4,0,1,2,24,11,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1
162006,68107,0,24299,20910,12850,11764,2080,5213,0,120,0,1000,57498,36000,1239,2184,1110,0,6042,3850,0,2700,61,6,1,0,0,18,38,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0
404370,123975,0,18498,9450,10752,7518,13658,19582,37570,0,0,44486,149280,120000,4038,67404,31428,46100,14574,3000,0,0,59,3,0,0,1,100,25,3,1,0,0,1,1,1,0,0,1,3,4,0,0,0
351044,155530,2,42878,25350,28600,14113,4290,9918,21065,910,6210,3700,55860,18000,2690,16092,2202,0,11484,1911,0,153654,52,6,1,1,1,28,5,0,1,1,1,0,0,1,1,0,0,3,3,1,0,0
338375,87258,0,36778,23750,11056,5488,3360,4050,12090,0,8688,1310,79476,60000,3828,14124,2466,1200,4068,1812,0,25010,50,6,0,1,3,40,26,3,1,1,0,0,1,1,0,0,0,3,1,0,0,0
351551,40909,0,12297,9255,9149,6386,1410,4665,750,1020,0,3785,63642,54000,120,2058,2130,90,5400,5000,54085,54085,58,2,0,0,1,72,32,2,1,1,1,1,1,1,0,0,0,2,0,0,0,0
202850,50859,2,12010,6240,3241,2314,1629,676,17940,345,0,5010,40284,30000,8016,4824,3498,0,6426,0,0,100950,31,1,0,0,1,50,1,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0
115870,58657,0,9330,5590,9140,15177,7800,5580,0,2990,5430,200,17040,9000,9779,2304,1776,0,2292,0,0,0,45,2,0,0,2,45,55,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0
